Track Number,Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
0,Boston,Foreplay / Long Time,467640,39C5FuZ8C8M0QI8CrMsPkR,29kkCKKGXheHuoO829FxWK,USSM17600873
1,Boston,More Than a Feeling,285133,1QEEqeFIZktqIpPI4jSVSF,29kkCKKGXheHuoO829FxWK,USSM17600941
2,Kansas,Carry on Wayward Son,323000,4DMKwE2E2iYDKY01C335Uw,2hl0xAkS2AIRAu23TVMBG1,USSM17600874
3,Creedence Clearwater Revival,Fortunate Son,140773,4BP3uh0hFLFRb5cjsgLqDh,3IYUhFvPQItj6xySrBmZkd,USC4R0817618
4,Blue Öyster Cult,(Don't Fear) The Reaper,308120,5QTxFnGygVM4jFQiBovmRo,00tVTdpEhQQw1bqdu8RCx2,USSM17600477
5,The Who,Baba O'Riley,300400,3qiyyUfYe7CRYLucrPmulD,67ea9eGLXYMsO2eYQRui3w,GBAKW7100001
6,Styx,Renegade,257226,1CQqupcyMg7176PPmIVmSj,4salDzkGmfycRqNUbyBphh,USAM17800365
7,Bruce Springsteen,Dancing In the Dark,241306,7FwBtcecmlpc1sLySPXeGE,3eqjTLE0HfPfh78zjh6TqT,USSM18400416
8,REO Speedwagon,Ridin' the Storm Out,252266,0SkmxNE5ydxiEN0hzJbMac,55vs7NT1KxcFjbMC4y202E,USSM19913588
9,Queen,Under Pressure - Remastered 2011,248440,11IzgLRXV7Cgek3tEgGgjw,1dfeR4HaWDbWqFHLkxsg1d,GBUM71029622
